thread_user_pk,thread_username,thread_follower_pk,thread_follower_username,follower_count
63437220115.0,togo_8888,63083863216.0,bron.kh,
63437220115.0,togo_8888,63438175473.0,rachaelelorde,
63437220115.0,togo_8888,63095622792.0,kyroee,
63437220115.0,togo_8888,63099794125.0,shuntmra,
63437220115.0,togo_8888,63408358314.0,jayrob_music,
63465314639.0,howexaus,66312908090.0,husonc,
63465314639.0,howexaus,64032145397.0,chailynmacfarlane,
63465314639.0,howexaus,63380599785.0,karynneal63,
63465314639.0,howexaus,63448235522.0,nikkileighbt,
63465314639.0,howexaus,63086635278.0,brandonsaena,
63465314639.0,howexaus,63624696525.0,chrisdirollo,
63465314639.0,howexaus,63479715680.0,jrgmusic.au,
63465314639.0,howexaus,63430491868.0,thebravodj,
63465314639.0,howexaus,63235036400.0,itslukemumby,
63465314639.0,howexaus,63278133793.0,rymakdj,
63465314639.0,howexaus,63408358314.0,jayrob_music,
63465314639.0,howexaus,63283802869.0,vdjdan,
63465314639.0,howexaus,63095622792.0,kyroee,
63465314639.0,howexaus,63056708461.0,dj_jimmycarey,
63465314639.0,howexaus,63243105932.0,togetheragencyau,
63445857590.0,_6god,63277527048.0,thequeen.of.nothing,
63445857590.0,_6god,63393789113.0,motivate.travel,
63445857590.0,_6god,63070820772.0,___asamoah___,
63430718666.0,vicnew_the_distro,63853741571.0,caleriealexander,
63467467984.0,chunkydip,69677616727.0,vmsqueenvictoria,
63467467984.0,chunkydip,69063988982.0,nedcrimmins,
63467467984.0,chunkydip,65917538501.0,tny_bass,
63467467984.0,chunkydip,65865037805.0,officialkaitu,
63467467984.0,chunkydip,64967809162.0,djstevefrank,
63467467984.0,chunkydip,64032145397.0,chailynmacfarlane,
63467467984.0,chunkydip,63442550426.0,ry4n_w4ke,
63467467984.0,chunkydip,63435647541.0,nickjamesaus,
63467467984.0,chunkydip,63448235522.0,nikkileighbt,
63467467984.0,chunkydip,63086635278.0,brandonsaena,
63467467984.0,chunkydip,63058373785.0,im.bmoney,
63467467984.0,chunkydip,63479715680.0,jrgmusic.au,
63467467984.0,chunkydip,63238316409.0,bigmoomusic,
63467467984.0,chunkydip,63671040241.0,zannon,
63467467984.0,chunkydip,63230223541.0,bullo_dj,
63467467984.0,chunkydip,63430491868.0,thebravodj,
63467467984.0,chunkydip,63409878494.0,sundaiofficial,
63467467984.0,chunkydip,63235036400.0,itslukemumby,
63467467984.0,chunkydip,63278133793.0,rymakdj,
63467467984.0,chunkydip,63499113504.0,djbose_au,
63467467984.0,chunkydip,63234126535.0,rojormg,
63467467984.0,chunkydip,63483432440.0,lukelabeat,
63467467984.0,chunkydip,63202063832.0,jordanlambert___,
63467467984.0,chunkydip,63268232253.0,highupofficial,
63467467984.0,chunkydip,63102493975.0,harpoon_official_,
63467467984.0,chunkydip,63447509752.0,fletcherkirkman_,
63467467984.0,chunkydip,63238022003.0,jakecarmody,
63467467984.0,chunkydip,63285893659.0,gnge_au,
63467467984.0,chunkydip,63056395619.0,jaiwaterhousedj,
63467467984.0,chunkydip,63408358314.0,jayrob_music,
63467467984.0,chunkydip,63239789554.0,jdubmusic,
63467467984.0,chunkydip,63283802869.0,vdjdan,
63467467984.0,chunkydip,63302652192.0,ashufflemusic,
63467467984.0,chunkydip,63304121472.0,willoaus,
63467467984.0,chunkydip,63056708461.0,dj_jimmycarey,
63467467984.0,chunkydip,63293179379.0,ordleyofficial,
63224621855.0,unchiliondedolares,63095622792.0,kyroee,
63302652192.0,ashufflemusic,64967809162.0,djstevefrank,
63302652192.0,ashufflemusic,63479715680.0,jrgmusic.au,
63302652192.0,ashufflemusic,63483432440.0,lukelabeat,
63302652192.0,ashufflemusic,63202063832.0,jordanlambert___,
63302652192.0,ashufflemusic,63095622792.0,kyroee,
63302652192.0,ashufflemusic,63304121472.0,willoaus,
63302652192.0,ashufflemusic,63056708461.0,dj_jimmycarey,
63302652192.0,ashufflemusic,63230223541.0,bullo_dj,
63302652192.0,ashufflemusic,63430491868.0,thebravodj,
63302652192.0,ashufflemusic,63278133793.0,rymakdj,
63302652192.0,ashufflemusic,63056395619.0,jaiwaterhousedj,
63302652192.0,ashufflemusic,63408358314.0,jayrob_music,
63302652192.0,ashufflemusic,63467467984.0,chunkydip,
63056708461.0,dj_jimmycarey,65917538501.0,tny_bass,
63056708461.0,dj_jimmycarey,64802284974.0,justinbrazier,
63056708461.0,dj_jimmycarey,64032145397.0,chailynmacfarlane,
63056708461.0,dj_jimmycarey,63435647541.0,nickjamesaus,
63056708461.0,dj_jimmycarey,63444496451.0,code.e_dj,
63056708461.0,dj_jimmycarey,63300377357.0,mattjames_dj,
63056708461.0,dj_jimmycarey,63479715680.0,jrgmusic.au,
63056708461.0,dj_jimmycarey,63304121472.0,willoaus,
63056708461.0,dj_jimmycarey,63230223541.0,bullo_dj,
63056708461.0,dj_jimmycarey,63430491868.0,thebravodj,
63056708461.0,dj_jimmycarey,63060580871.0,christempestdj,
63056708461.0,dj_jimmycarey,63235036400.0,itslukemumby,
63056708461.0,dj_jimmycarey,63408358314.0,jayrob_music,
63056708461.0,dj_jimmycarey,63465314639.0,howexaus,
63056708461.0,dj_jimmycarey,63283802869.0,vdjdan,
63056708461.0,dj_jimmycarey,63302652192.0,ashufflemusic,
63056708461.0,dj_jimmycarey,63239789554.0,jdubmusic,
63056708461.0,dj_jimmycarey,63056395619.0,jaiwaterhousedj,
63056708461.0,dj_jimmycarey,63409878494.0,sundaiofficial,
63056708461.0,dj_jimmycarey,63483432440.0,lukelabeat,
